month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202204,35620,"new york-newark-jersey city, ny-nj-pa",1,715000,0.0229,0.1005,45562,0.0641,-0.0628,44,-0.0638,-0.0928,26112,0.0992,5.00E-04,1336,-0.0511,0.1478,7328,0.2279,-0.0302,31034,0.1002,0.2789,598,0.0106,0.3083,1424,0.0161,-0.0594,1684560,-0.0092,0.2254,76596,0.0785,0.051,0.6811,0.0223,0.182,0
202204,31080,"los angeles-long beach-anaheim, ca",2,950000,1.00E-04,-0.0392,7695,0.0867,-0.2111,28,0,-0.1515,10068,0.0598,-0.058,788,-0.1005,-0.1723,1688,0.4354,-0.0538,10521,-0.0103,-0.2372,605,0.0115,0.0517,1744,0.0084,-0.0545,2321213,-0.0374,-0.0205,18216,0.0285,-0.226,1.3673,-0.1341,-0.0468,0
202204,16980,"chicago-naperville-elgin, il-in-wi",3,350000,0.0386,0,11943,0.0202,-0.2565,32,-0.0857,-0.1111,16472,0.1666,-0.0857,524,-0.2012,-0.1709,2868,0.0847,-0.2684,19466,0.1244,-0.1833,208,0.0176,7.00E-04,1664,0.0177,-0.0212,533333,0.0099,-0.0363,31168,0.0741,-0.2192,1.6299,0.1509,0.1462,0
202204,19100,"dallas-fort worth-arlington, tx",4,440000,0.0353,0.1781,5350,0.1826,-0.0477,25,-0.1071,-0.2424,10724,0.2338,0.0938,516,-0.2712,-0.5409,1948,0.8447,0.571,13123,0.0713,-0.0885,208,0.0261,0.1963,2149,0.0142,0.004,677414,0.0252,0.1251,18329,0.0952,-0.0854,2.4529,-0.2549,-0.1098,0
202204,26420,"houston-the woodlands-sugar land, tx",5,389900,0.0433,0.115,10865,0.0247,-0.1045,36,-0.0769,-0.1529,11680,0.1265,0.0104,1808,-0.2602,-0.2153,3532,0.2947,0.2596,15591,0.0151,-0.0751,181,0.0226,0.1365,2149,0.0118,-0.035,559761,0.0318,0.0371,26717,0.029,-0.0802,1.435,-0.0136,0.0456,0
202204,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,325000,0.0321,-0.0426,7249,0.0582,-0.0429,37,-0.0263,-0.0633,8708,0.1118,0.0298,900,-0.0854,-0.3161,2168,0.1175,0.1016,12565,0.1324,-0.022,204,0.0204,0.0533,1544,0.0059,-0.0716,501057,0.0056,-0.0838,19611,0.0927,-0.0397,1.7333,0.1135,0.0371,0
202204,47900,"washington-arlington-alexandria, dc-va-md-wv",7,565000,0.0368,0.1189,5985,0.131,-0.1421,28,0,-0.0508,10272,0.1615,-0.1298,752,-0.2134,-0.3733,1664,0.2418,-0.0937,10843,0.1176,-0.1498,300,-0.0165,0.0348,1840,0.0538,0.063,826921,-0.0108,0.0353,16763,0.1184,-0.1503,1.8117,-0.0216,-0.0164,0
202204,33100,"miami-fort lauderdale-west palm beach, fl",8,585000,0.0685,0.4014,12994,-0.0149,-0.4657,43,0,-0.3944,10976,-0.0179,-0.0902,1352,-0.0689,-0.1776,2340,0.1315,-0.3245,19036,-0.0471,-0.2302,398,0.0238,0.2611,1442,0.0341,0.1058,1706391,0.0278,0.5463,32030,-0.0338,-0.347,1.465,-0.0494,0.4481,1
202204,12060,"atlanta-sandy springs-roswell, ga",9,412000,0.0314,0.0844,12593,0.0377,-0.088,31,-0.0606,-0.1143,17200,0.0437,-0.0775,1132,-0.1701,-0.4558,4256,0.4055,0.3694,24264,0.0013,-0.1776,195,0.0291,0.1347,2154,0.0287,-0.0427,588140,0.0346,0.0928,36857,0.0144,-0.1515,1.9268,-0.0702,-0.2099,0
202204,14460,"boston-cambridge-newton, ma-nh",10,759000,0.0054,0.0858,3936,0.2354,-0.2152,17,-0.1707,-0.2273,6312,0.3128,0.0057,136,-0.2273,-0.1905,736,0.4375,-0.2397,1541,0.0569,-0.239,451,-0.0152,0.0647,1699,0.0155,0.0189,1264452,-0.017,0.0603,5407,0.1583,-0.2315,0.3915,-0.0661,-0.0123,0
202204,41860,"san francisco-oakland-hayward, ca",11,1098000,0.0517,0.0462,3369,0.1245,-0.0178,24,0.0435,-0.2,5008,0.084,-0.0016,132,-0.2143,-0.2667,620,0.2109,0.24,4305,0.0588,-0.1638,753,0.0145,0.0683,1540,0.0239,-0.0052,1743680,0.0067,-0.0683,7621,0.0792,-0.1077,1.2778,-0.0793,-0.223,0
202204,19820,"detroit-warren-dearborn, mi",12,249900,0.0891,-0.0911,4952,0.0505,0.0647,24,-0.1724,-0.04,5512,0.1203,0.0392,240,-0.3258,-0.4175,1312,0.2519,0.4578,1744,0.0615,-0.1489,170,0.0448,0.0287,1491,0.0315,-0.0667,380891,0.0489,-0.0737,6647,0.0458,-0.0094,0.3522,0.0036,-0.0884,0
202204,38060,"phoenix-mesa-scottsdale, az",13,525000,0.0469,0.2142,4452,0.1415,0.1006,27,-0.1,-0.1148,8692,0.0437,-0.0364,692,-0.1263,-0.1801,2288,0.5758,0.7386,10394,-0.0385,-0.0803,284,0.024,0.2235,1975,0.0133,-0.0068,880312,0.0127,0.0797,14959,0.0216,-0.0271,2.3347,-0.4371,-0.4591,1
202204,42660,"seattle-tacoma-bellevue, wa",14,799999,0.0596,0.195,2199,0.1938,-0.2001,21,-0.087,-0.25,5696,0.1151,-0.0747,132,-0.0571,-0.5479,640,0.8391,0.1511,6117,0.1022,-0.161,440,0.0214,0.1043,1967,0.0435,0.1132,1143289,0.0565,0.2135,8405,0.1369,-0.1649,2.7817,-0.2313,0.1295,0
202204,33460,"minneapolis-st. paul-bloomington, mn-wi",15,417990,0.0084,0.1612,4000,0.0893,-0.1522,31,-0.0313,-0.0746,6284,0.1384,-0.0057,380,-0.1518,-0.246,932,0.6294,0.3391,8273,0.2298,0.0439,186,-0.0047,-0.022,2250,0.0156,0.1855,540326,0.0051,0.0884,12144,0.1678,-0.0395,2.0683,0.2363,0.3885,0
202204,40140,"riverside-san bernardino-ontario, ca",16,595000,0.0384,0.19,5127,0.1348,0.2532,28,0.1667,0,6636,0.085,0.0527,696,-0.0645,-0.0695,1592,0.5731,1.2614,7361,-0.0423,-0.1827,320,0.0196,0.1767,1892,0.0175,-0.0055,792787,0.0114,0.0618,12488,0.0241,-0.0445,1.4357,-0.2655,-0.7657,1
202204,45300,"tampa-st. petersburg-clearwater, fl",17,419000,0.0489,0.3096,3415,0.1146,-0.0296,28,-0.1111,-0.2329,6440,0.1027,0.0196,412,0,-0.2426,1280,0.3115,0.1552,9357,-0.0104,-0.1334,248,0.034,0.2935,1624,0.005,-0.007,660559,0.0153,0.2436,12932,0.0341,-0.0982,2.74,-0.3459,-0.3282,1
202204,41740,"san diego-carlsbad, ca",18,900000,0.018,0.0982,1902,0.1633,-0.1517,21,-0.087,-0.25,3556,0.1043,-0.0379,452,-0.1308,-0.1439,544,0.8133,0.3737,3160,0.0073,-0.2565,571,0.0232,0.1158,1714,0.0196,0.0133,1699681,-0.0233,1.00E-04,5103,0.0743,-0.2091,1.6614,-0.2572,-0.2342,0
202204,41180,"st. louis, mo-il",19,273900,-0.0038,0.0441,3126,0.06,-0.1292,40,-0.1011,-0.2661,4144,0.1867,-0.0495,336,-0.4717,-0.52,816,0.5224,0.1087,5127,0.1465,-0.1605,153,-0.0033,0.0598,1665,0.0015,-0.0437,342727,-0.0299,-0.0498,8184,0.1025,-0.1569,1.6401,0.1237,-0.061,0
202204,19740,"denver-aurora-lakewood, co",20,675000,0.0189,0.1739,2293,0.2832,0.0533,8,-0.0588,-0.3846,6096,0.3392,0.1972,248,0.2157,0.0333,960,1.4,0.875,5554,0.1263,-0.0968,299,-0.0044,0.076,2306,0.0057,0.0539,965798,-0.012,0.0617,7818,0.1637,-0.0658,2.4222,-0.3372,-0.4024,1
202204,12580,"baltimore-columbia-towson, md",21,330000,0.0155,-0.0146,2886,0.0944,-0.078,31,-0.0606,-0.0462,4480,0.1313,-0.0789,572,-0.0403,-0.341,952,0.0578,0.0673,5467,0.0728,-0.161,203,0.0178,0.0634,1760,0.0124,-0.0222,458082,-0.0085,-7.00E-04,8479,0.1055,-0.121,1.8943,-0.0382,-0.1875,0
202204,38300,"pittsburgh, pa",22,229000,0.0292,-0.1438,2530,0.0416,-0.0695,42,-0.3058,-0.0345,2940,0.2129,-0.0226,72,0.2857,-0.1818,816,0.2143,0.1027,3980,0.1155,-0.1092,151,0.0178,-0.0735,1654,0.0157,-0.042,374156,0,-0.1054,6401,0.0681,-0.1097,1.5731,0.1042,-0.0701,1
202204,38900,"portland-vancouver-hillsboro, or-wa",23,585000,0.0175,0.1116,2313,0.1009,-0.11,29,-0.0169,-0.1212,4196,0.1136,0.0116,2568,0.1383,0.0355,1224,0.1724,0.1007,5202,0.0479,-0.1143,321,0.0081,0.1338,1853,0.0065,-0.0316,757370,0.0226,0.093,7571,0.0669,-0.1094,2.249,-0.1137,-0.0107,0
202204,16740,"charlotte-concord-gastonia, nc-sc",24,419000,0.0232,0.0771,2054,0.1392,-0.0433,20,0,-0.3651,3316,0.1203,0.0995,216,-0.2603,-0.3647,736,0.6,0.2105,2497,0.0036,-0.3419,212,0.0218,0.1592,2005,0.0101,-0.048,584282,0.0393,0.0454,4597,0.0791,-0.2296,1.2157,-0.1642,-0.5514,1
202204,36740,"orlando-kissimmee-sanford, fl",25,429900,0.0422,0.3147,2689,0.1034,-0.221,32,0,-0.2809,4416,0.0646,0.0474,356,-0.2521,-0.2124,876,0.3114,0.0186,6506,-0.0177,-0.1134,233,0.0425,0.2957,1843,0.0099,0.027,610677,0.032,0.2382,9260,0.0233,-0.1414,2.4195,-0.2982,0.2938,1
202204,17460,"cleveland-elyria, oh",26,194000,0.0216,-0.1337,1860,0.0397,-0.0016,39,-0.1333,-0.1236,2816,0.1812,0.0949,64,-0.2381,-0.36,472,0.0261,-0.056,3947,0.191,-0.0436,117,0.0164,0.0219,1800,0.0198,-0.0307,316524,-6.00E-04,-0.0706,5704,0.1149,-0.0542,2.122,0.2696,-0.0932,1
202204,41700,"san antonio-new braunfels, tx",27,377130,0.0551,0.203,3137,0.0873,0.1264,35,-0.1026,-0.1463,4396,0.1729,0.1412,572,-0.1538,-0.2886,1052,0.3698,0.6859,8062,0.0316,0.04,197,0.0241,0.2053,2029,0.0334,-0.0015,506441,0.0182,0.0819,11275,0.0501,0.0726,2.57,-0.1389,-0.2135,0
202204,17140,"cincinnati, oh-ky-in",28,332804,0.0117,-0.0557,1516,0.0484,-0.1088,36,-0.2174,-0.0649,3168,0.1186,0.0617,92,-0.1786,-0.5306,448,0.3023,0.0566,4060,0.1024,-0.1563,166,0.0066,0.0755,1680,-0.0021,-0.1153,467856,-0.0084,-0.0292,5546,0.0841,-0.1532,2.6781,0.1311,-0.1508,0
202204,40900,"sacramento--roseville--arden-arcade, ca",29,649950,0.0252,0.1323,2059,0.1861,0.1295,23,0,-0.1154,3412,0.1621,0.0544,156,-0.0714,-0.3036,824,0.5725,0.9434,3030,-0.0046,-0.1527,352,0.0053,0.142,1849,0.0196,8.00E-04,903095,-0.0226,-0.0164,5142,0.0755,-0.0458,1.4716,-0.2819,-0.49,1
202204,28140,"kansas city, mo-ks",30,389000,-0.0023,0.1292,2173,0.0747,0.0931,39,-0.1875,-0.037,3688,0.1122,-0.0325,344,-0.165,-0.3534,484,0.2737,0.1635,6256,0.1296,-0.1018,187,-0.0011,0.1412,2092,0.0041,-0.0217,453289,0.018,-7.00E-04,8339,0.1088,-0.0719,2.879,0.1401,-0.6246,1
202204,18140,"columbus, oh",31,325000,-0.0114,0.0657,1417,0.1336,-0.007,13,-0.2778,-0.1613,2944,0.319,0.0871,88,-0.4762,-0.2903,360,0.1842,-0.1,2356,0.2094,-0.1212,183,3.00E-04,0.1255,1720,0.0056,-0.0367,414723,0.0139,0.0502,3663,0.1533,-0.1085,1.6627,0.1043,-0.2161,0
202204,26900,"indianapolis-carmel-anderson, in",32,300000,0.0033,0.0937,1442,0.0518,-0.1355,33,-0.0959,-0.175,2988,0.0779,-0.0732,140,0.0606,-0.2857,540,-0.0074,0.0227,3962,0.1083,-0.0754,145,0.027,0.154,2061,0.0056,-5.00E-04,401097,0.0079,0.0993,5399,0.0874,-0.0973,2.7476,0.14,0.1786,0
202204,29820,"las vegas-henderson-paradise, nv",33,495000,0.0313,0.3289,4052,0.1181,-0.032,22,-0.0435,-0.2,3524,0.111,0.0602,300,0.0417,-0.2347,932,0.4654,0.7923,114,0.0459,-0.4412,266,0.0299,0.276,1892,-0.0073,0.0594,776550,7.00E-04,0.1861,4171,0.117,-0.0505,0.0281,-0.0019,-0.0206,1
202204,12420,"austin-round rock, tx",34,625000,0.0417,0.2756,2082,0.2703,0.1756,15,-0.0909,-0.434,4032,0.2584,-0.0059,296,-0.1868,-0.3393,860,1.3889,1.6543,2393,0.1125,-0.6381,301,0.014,0.2612,2117,0.0197,0.0307,944648,0.0248,0.2665,4514,0.191,-0.4643,1.1494,-0.163,-2.5847,1
202204,34980,"nashville-davidson--murfreesboro--franklin, tn",35,524900,0.05,0.2685,1778,0.1877,-0.0933,11,-0.1852,-0.4211,3220,0.2179,0.0719,196,-0.02,-0.4731,600,0.5306,0.5306,2007,0.0502,-0.2058,252,0.0182,0.1834,2112,0.0343,0.0803,904674,0.0337,0.3005,3760,0.1033,-0.167,1.1288,-0.1478,-0.1598,0
