postal_code,zip_name,cbsa_code,cbsa_title
33160,"North Miami Beach, FL",33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
33139,"Miami Beach, FL",33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
29582,"North Myrtle Beach, SC",34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
21842,"Ocean City, MD",41540,"Salisbury, MD-DE"
71913,"Hot Springs National Park, AR",26300,"Hot Springs, AR"
33131,"Miami, FL",33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
29577,"Myrtle Beach, SC",34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
34145,"Marco Island, FL",34940,"Naples-Immokalee-Marco Island, FL"
29928,"Hilton Head Island, SC",25940,"Hilton Head Island-Bluffton-Beaufort, SC"
92253,"La Quinta, CA",40140,"Riverside-San Bernardino-Ontario, CA"
8260,"Wildwood, NJ",36140,"Ocean City, NJ"
32413,"Panama City Beach, FL",37460,"Panama City, FL"
32137,"Palm Coast, FL",19660,"Deltona-Daytona Beach-Ormond Beach, FL"
37876,"Sevierville, TN",42940,"Sevierville, TN"
33180,"Miami, FL",33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
29572,"Myrtle Beach, SC",34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
32541,"Destin, FL",18880,"Crestview-Fort Walton Beach-Destin, FL"
34747,"Kissimmee, FL",36740,"Orlando-Kissimmee-Sanford, FL"
28460,"Sneads Ferry, NC",27340,"Jacksonville, NC"
29579,"Myrtle Beach, SC",34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
29576,"Murrells Inlet, SC",34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
33480,"Palm Beach, FL",33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
37042,"Clarksville, TN",17300,"Clarksville, TN-KY"
33009,"Hallandale, FL",33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
30040,"Cumming, GA",12060,"Atlanta-Sandy Springs-Roswell, GA"
30004,"Alpharetta, GA",12060,"Atlanta-Sandy Springs-Roswell, GA"
23188,"Williamsburg, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
28906,"Murphy, NC",99937,Unassigned
31024,"Eatonton, GA",99913,Unassigned
79938,"El Paso, TX",21340,"El Paso, TX"
32034,"Fernandina Beach, FL",27260,"Jacksonville, FL"
29455,"Johns Island, SC",16700,"Charleston-North Charleston, SC"
32566,"Navarre, FL",37860,"Pensacola-Ferry Pass-Brent, FL"
30135,"Douglasville, GA",12060,"Atlanta-Sandy Springs-Roswell, GA"
23185,"Williamsburg, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
28604,"Banner Elk, NC",14380,"Boone, NC"
36542,"Gulf Shores, AL",19300,"Daphne-Fairhope-Foley, AL"
8226,"Ocean City, NJ",36140,"Ocean City, NJ"
32550,"Miramar Beach, FL",18880,"Crestview-Fort Walton Beach-Destin, FL"
30041,"Cumming, GA",12060,"Atlanta-Sandy Springs-Roswell, GA"
29483,"Summerville, SC",16700,"Charleston-North Charleston, SC"
30506,"Gainesville, GA",23580,"Gainesville, GA"
30024,"Suwanee, GA",12060,"Atlanta-Sandy Springs-Roswell, GA"
30143,"Jasper, GA",12060,"Atlanta-Sandy Springs-Roswell, GA"
32459,"Santa Rosa Beach, FL",18880,"Crestview-Fort Walton Beach-Destin, FL"
37862,"Sevierville, TN",42940,"Sevierville, TN"
37738,"Gatlinburg, TN",42940,"Sevierville, TN"
92211,"Palm Desert, CA",40140,"Riverside-San Bernardino-Ontario, CA"
36561,"Orange Beach, AL",19300,"Daphne-Fairhope-Foley, AL"
77494,"Katy, TX",26420,"Houston-The Woodlands-Sugar Land, TX"
28445,"Holly Ridge, NC",27340,"Jacksonville, NC"
85255,"Scottsdale, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ"
60010,"Barrington, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI"
36532,"Fairhope, AL",19300,"Daphne-Fairhope-Foley, AL"
28374,"Pinehurst, NC",38240,"Pinehurst-Southern Pines, NC"
92352,"Lake Arrowhead, CA",40140,"Riverside-San Bernardino-Ontario, CA"
6840,"New Canaan, CT",14860,"Bridgeport-Stamford-Norwalk, CT"
78597,"South Padre Island, TX",15180,"Brownsville-Harlingen, TX"
32118,"Daytona Beach, FL",19660,"Deltona-Daytona Beach-Ormond Beach, FL"
30052,"Loganville, GA",12060,"Atlanta-Sandy Springs-Roswell, GA"
65616,"Branson, MO",14700,"Branson, MO"
96815,"Honolulu, HI",46520,"Urban Honolulu, HI"
8087,"Tuckerton, NJ",35620,"New York-Newark-Jersey City, NY-NJ-PA"
